system_id,system_name,function,ai_type,provider,regions,lifecycle,decision_impact,human_oversight,personal_data,sensitive_data,financial_impact,regulatory_impact,third_party,explainability_challenge,autonomy_level,data_cross_border,eu_ai_act_applicability,uk_ai_governance_applicability,singapore_ai_governance_applicability,uae_ai_governance_applicability,iso_42001_alignment,nist_ai_rmf_functions,control_ceiling_basis,applicability_basis
AI-011,PortfolioWatch,Portfolio Management,Predictive AI,Internal Model,UK|EU,Production,Portfolio risk monitoring and alerts,Required,No,Yes,High,High,No,High,2,Yes,Assess,Assess,Not primary,Not primary,AIMS baseline,GOVERN|MAP|MEASURE|MANAGE,Highest applicable control requirement,Deployment processing users and impact
AI-012,VendorGPT,Enterprise AI Platform,Third-party LLM,External Foundation Model Provider,Global,Production,General enterprise AI capability,Required,Yes,Yes,Medium,High,Yes,High,2,Yes,Assess,Assess,Assess,Assess,AIMS baseline,GOVERN|MAP|MEASURE|MANAGE,Highest applicable control requirement,Global availability requires jurisdictional assessment
AI-013,DealScreen,Private Equity,ML,Specialist Vendor,UK|EU|UAE,Pilot,Deal screening and prioritisation,Required,No,Yes,High,High,Yes,High,2,Yes,Assess,Assess,Not primary,Assess,AIMS baseline,GOVERN|MAP|MEASURE|MANAGE,Highest applicable control requirement,Deployment processing users and impact
AI-014,ExpenseGuard,Finance,Anomaly Detection,Internal Model,UK|EU|Singapore,Production,Expense anomaly detection,Review by Finance,Yes,No,Medium,Medium,No,Low,1,Yes,Assess,Assess,Assess,Not primary,AIMS baseline,GOVERN|MAP|MEASURE|MANAGE,Highest applicable control requirement,Deployment processing users and impact
AI-015,RegWatch,Compliance,NLP/LLM,Specialist Vendor,UK|EU|Singapore|UAE,Pilot,Regulatory change monitoring,Required,No,No,Medium,High,Yes,Medium,1,Yes,Assess,Assess,Assess,Assess,AIMS baseline,GOVERN|MAP|MEASURE|MANAGE,Highest applicable control requirement,Multi-jurisdiction regulatory monitoring
AI-016,ClientSuitabilityAssist,Wealth Management,GenAI plus rules,Internal and Vendor Components,UAE|UK,Development,Client suitability support,Required,Yes,Yes,High,High,Yes,High,2,Yes,Not primary,Assess,Not primary,Assess,AIMS baseline,GOVERN|MAP|MEASURE|MANAGE,Highest applicable control requirement,Deployment processing users and impact
AI-017,DataQualityAI,Fund Administration,ML,Internal Model,EU|UK,Production,Financial data quality monitoring,Required,No,Yes,High,High,No,Medium,2,Yes,Assess,Assess,Not primary,Not primary,AIMS baseline,GOVERN|MAP|MEASURE|MANAGE,Highest applicable control requirement,Deployment processing users and impact
AI-018,DocumentExtract,Operations,Computer Vision plus NLP,Specialist Vendor,EU|Singapore|UAE,Production,Document extraction and classification,Required,Yes,Yes,Medium,Medium,Yes,Medium,2,Yes,Assess,Not primary,Assess,Assess,AIMS baseline,GOVERN|MAP|MEASURE|MANAGE,Highest applicable control requirement,Deployment processing users and impact
AI-019,ComplianceCopilot,Compliance,GenAI/LLM,Enterprise LLM Provider,UK|EU|UAE,Development,Compliance analysis and drafting,Required,Yes,Yes,Medium,High,Yes,High,2,Yes,Assess,Assess,Not primary,Assess,AIMS baseline,GOVERN|MAP|MEASURE|MANAGE,Highest applicable control requirement,Deployment processing users and impact
AI-020,BoardBriefAI,Executive Management,GenAI/LLM,Enterprise LLM Provider,UK|EU|UAE,Development,Management information summarisation,Required,Yes,Yes,High,High,Yes,High,1,Yes,Assess,Assess,Not primary,Assess,AIMS baseline,GOVERN|MAP|MEASURE|MANAGE,Highest applicable control requirement,Deployment processing users and impact
